Team,Players
NYK,"Amar'e Stoudemire, Andy Rautins, Anthony Carter, Anthony Randolph, Carmelo Anthony, Chauncey Billups, Danilo Gallinari, Derrick Brown, Henry Walker, Jared Jeffries, Landry Fields, Raymond Felton, Renaldo Balkman, Roger Mason, Ronny Turiaf, Shawne Williams, Shelden Williams, Timofey Mozgov, Toney Douglas, Wilson Chandler"
SAS,"Alonzo Gee, Antonio McDyess, Bobby Simmons, Chris Quinn, Danny Green, DeJuan Blair, Garrett Temple, Gary Neal, George Hill, Ime Udoka, James Anderson, Larry Owens, Manu Ginobili, Matt Bonner, Othyus Jeffers, Richard Jefferson, Steve Novak, Tiago Splitter, Tim Duncan, Tony Parker"
OKC,"Byron Mullens, Cole Aldrich, D.J. White, Daequan Cook, Eric Maynor, James Harden, Jeff Green, Kendrick Perkins, Kevin Durant, Morris Peterson, Nate Robinson, Nazr Mohammed, Nenad Krstic, Nick Collison, Royal Ivey, Russell Westbrook, Serge Ibaka, Thabo Sefolosha"
MIN,"Anthony Randolph, Anthony Tolliver, Corey Brewer, Darko Milicic, Jonny Flynn, Kevin Love, Kosta Koufos, Lazar Hayward, Luke Ridnour, Martell Webster, Maurice Ager, Michael Beasley, Nikola Pekovic, Sebastian Telfair, Sundiata Gaines, Wayne Ellington, Wesley Johnson"
LAC,"Al-Farouq Aminu, Baron Davis, Blake Griffin, Brian Cook, Chris Kaman, Craig Smith, DeAndre Jordan, Eric Bledsoe, Eric Gordon, Ike Diogu, Jamario Moon, Jarron Collins, Mo Williams, Randy Foye, Rasual Butler, Ryan Gomes, Willie Warren"
SAC,"Antoine Wright, Beno Udrih, Carl Landry, Darnell Jackson, DeMarcus Cousins, Donte Greene, Eugene Jeter, Francisco Garcia, Jason Thompson, Jermaine Taylor, Luther Head, Marcus Thornton, Omri Casspi, Samuel Dalembert, Tyreke Evans"
WAS,"Al Thornton, Alonzo Gee, Andray Blatche, Cartier Martin, Gilbert Arenas, Hamady N'Diaye, Hilton Armstrong, JaVale McGee, John Wall, Jordan Crawford, Josh Howard, Kevin Seraphin, Kirk Hinrich, Larry Owens, Lester Hudson, Maurice Evans, Mike Bibby, Mustafa Shakur, Nick Young, Othyus Jeffers, Rashard Lewis, Trevor Booker, Yi Jianlian"
DET,"Austin Daye, Ben Gordon, Ben Wallace, Charlie Villanueva, Chris Wilcox, DaJuan Summers, Greg Monroe, Jason Maxiell, Richard Hamilton, Rodney Stuckey, Tayshaun Prince, Tracy McGrady, Will Bynum"
CLE,"Alonzo Gee, Anderson Varejao, Antawn Jamison, Anthony Parker, Baron Davis, Christian Eyenga, Daniel Gibson, J.J. Hickson, Jamario Moon, Jawad Williams, Joey Graham, Leon Powe, Luke Harangody, Manny Harris, Mo Williams, Ramon Sessions, Ryan Hollins, Samardo Samuels, Semih Erden"
PHI,"Andre Iguodala, Andres Nocioni, Antonio Daniels, Craig Brackins, Darius Songaila, Elton Brand, Evan Turner, Jason Kapono, Jodie Meeks, Jrue Holiday, Lou Williams, Marreese Speights, Spencer Hawes, Thaddeus Young, Tony Battie"
NJN,"Anthony Morrow, Ben Uzoh, Brandan Wright, Brook Lopez, Damion James, Dan Gadzuric, Deron Williams, Derrick Favors, Devin Harris, Joe Smith, Johan Petro, Jordan Farmar, Kris Humphries, Mario West, Orien Greene, Quinton Ross, Sasha Vujacic, Stephen Graham, Sundiata Gaines, Terrence Williams, Travis Outlaw, Troy Murphy"
MEM,"Acie Law, Darrell Arthur, DeMarre Carroll, Greivis Vasquez, Hamed Haddadi, Hasheem Thabeet, Ish Smith, Jason Williams, Leon Powe, Marc Gasol, Mike Conley, O.J. Mayo, Rodney Carney, Rudy Gay, Sam Young, Shane Battier, Tony Allen, Xavier Henry, Zach Randolph"
MIL,"Andrew Bogut, Brandon Jennings, Brian Skinner, Carlos Delfino, Chris Douglas-Roberts, Corey Maggette, Drew Gooden, Earl Barron, Earl Boykins, Ersan Ilyasova, Garrett Temple, John Salmons, Jon Brockman, Keyon Dooling, Larry Sanders, Luc Mbah a Moute, Michael Redd"
UTA,"Al Jefferson, Andrei Kirilenko, C.J. Miles, Deron Williams, Derrick Favors, Devin Harris, Earl Watson, Francisco Elson, Gordon Hayward, Jeremy Evans, Kyle Weaver, Kyrylo Fesenko, Marcus Cousin, Mehmet Okur, Paul Millsap, Raja Bell, Ronnie Price"
ATL,"Al Horford, Damien Wilkins, Etan Thomas, Hilton Armstrong, Jamal Crawford, Jason Collins, Jeff Teague, Joe Johnson, Jordan Crawford, Josh Powell, Josh Smith, Kirk Hinrich, Marvin Williams, Maurice Evans, Mike Bibby, Pape Sy, Zaza Pachulia"
ORL,"Brandon Bass, Chris Duhon, Dwight Howard, Earl Clark, Gilbert Arenas, Hedo Turkoglu, J.J. Redick, Jameer Nelson, Jason Richardson, Jason Williams, Malik Allen, Marcin Gortat, Mickael Pietrus, Quentin Richardson, Rashard Lewis, Ryan Anderson, Vince Carter"
MIA,"Carlos Arroyo, Chris Bosh, Dexter Pittman, Dwyane Wade, Eddie House, Erick Dampier, Jamaal Magloire, James Jones, Jerry Stackhouse, Joel Anthony, Juwan Howard, LeBron James, Mario Chalmers, Mike Bibby, Mike Miller, Udonis Haslem, Zydrunas Ilgauskas"
LAL,"Andrew Bynum, Derek Fisher, Derrick Caracter, Devin Ebanks, Joe Smith, Kobe Bryant, Lamar Odom, Luke Walton, Matt Barnes, Metta World Peace, Pau Gasol, Sasha Vujacic, Shannon Brown, Steve Blake, Theo Ratliff, Trey Johnson"
